Time,Value
10.8058,409361
10.8063,409897
10.8067,410433
10.8268,410969
10.8473,411505
10.8473,412041
10.8683,412577
10.8683,413113
10.8893,413649
10.8893,414185
10.8893,414721
10.9102,415257
10.9102,415793
10.9308,416329
10.9308,416865
10.9513,417401
10.9513,417937
10.9513,418473
10.9718,419009
10.9718,419545
10.9727,420081
10.9727,420617
10.9928,421153
10.9928,421689
10.9937,422225
10.9937,422761
11.0138,423297
11.0138,423833
11.0138,424369
11.0147,424905
11.0147,425441
11.0348,425977
11.0348,426513
11.0357,427049
11.0357,427585
11.0553,428121
11.0553,428657
11.0562,429193
11.0562,429729
11.0758,430265
11.0758,430801
11.0767,431337
11.0767,431873
11.0963,432409
11.0963,432945
11.0972,433481
11.0972,434017
11.0972,434553
11.1168,435089
11.1168,435625
11.1178,436161
11.1178,436697
11.1187,437233
11.1187,437769
11.1378,438305
11.1378,438841
11.1387,439377
11.1387,439913
11.1397,440449
11.1397,440985
11.1588,441521
11.1588,442057
11.1597,442593
11.1597,443129
11.1607,443665
11.1607,444201
11.1798,444737
11.1798,445273
11.1812,445809
11.1812,446345
11.1817,446881
11.2003,443129
11.2008,447417
11.2022,447953
11.2227,448489
12.1798,443129
12.2003,448489
12.2003,449025
12.2213,449561
12.2213,450097
12.2423,450633
12.2423,451169
12.2633,451705
12.2633,452241
12.2633,452777
12.2842,453313
12.2842,453849
12.3048,454385
12.3048,454921
12.3257,455457
12.3257,455993
12.3463,456529
12.3467,454385
12.3668,457065
12.3673,457601
12.3878,458137
12.3878,458673
12.4088,459209
12.4088,459745
12.4298,460281
12.4298,460817
12.4298,461353
12.4507,461889
12.4507,462425
12.4713,462961
12.4713,463497
12.4918,464033
12.4918,464569
12.4918,465105
12.5123,465641
12.5123,466177
12.5132,466713
12.5132,467249
12.5333,467785
12.5333,468321
12.5342,468857
12.5342,469393
12.5543,469929
12.5543,470465
12.5543,471001
12.5552,471537
12.5552,472073
12.5752,472609
12.5752,473145
12.5762,473681
12.5762,474217
12.5958,474753
12.5958,475289
12.5967,475825
12.5967,476361
12.6163,476897
12.6163,477433
12.6172,477969
12.6172,478505
12.6368,479041
12.6368,479577
12.6377,480113
12.6377,480649
12.6377,481185
12.6573,481721
12.6573,482257
12.6583,482793
12.6583,483329
12.6592,483865
12.6592,484401
12.6788,484937
12.6788,485473
12.6792,486009
12.6797,482257
12.6802,486545
12.6998,487081
12.7203,487617
12.7408,488153
12.7613,486545
12.7818,488689
12.7818,489225
13.0024,489761
13.0229,490297
13.0434,490833
13.0639,489225
13.0844,491369
13.0844,491905
13.1054,492441
13.1054,492977
13.1264,493513
13.1264,494049
13.1264,494585
13.1474,495121
13.1474,495657
13.1679,496193
13.1679,496729
13.1884,497265
13.1884,497801
13.1884,498337
13.2089,498873
13.2089,499409
13.2099,499945
13.2099,500481
13.2299,501017
13.2299,501553
13.2309,502089
13.2309,502625
13.2509,503161
13.2509,503697
13.2509,504233
13.2519,504769
13.2519,505305
13.2719,505841
13.2719,506377
13.2729,506913
13.2733,507449
13.2924,504233
13.2929,507985
13.2934,508521
13.2939,509057
13.3139,509593
13.3344,510129
13.3344,510665
13.3554,511201
13.3554,511737
13.3764,512273
13.3764,512809
13.3764,513345
13.3974,513881
13.3974,514417
13.4179,514953
13.4179,515489
13.4384,516025
13.4384,516561
13.4384,517097
13.4589,517633
13.4589,518169
13.4599,518705
13.4599,519241
13.4799,519777
13.4799,520313
13.4809,520849
13.4809,521385
13.5009,521921
13.5009,522457
13.5009,522993
13.5018,523529
13.5018,524065
13.5219,524601
13.5219,525137
13.5228,525673
13.5228,526209
13.5424,526745
13.5424,527281
13.5433,527817
13.5433,528353
13.5629,528889
13.5629,529425
13.5643,529961
13.5643,530497
13.5834,531033
13.5839,527817
13.5849,531569
13.5853,532105
13.604,532641
13.6058,533177
13.6264,533713
13.6264,534249
13.8469,534785
13.8674,535321
13.8879,535857
13.9084,534249
13.929,536393
13.929,536929
13.9499,537465
13.9499,538001
13.9709,538537
13.9709,539073
13.9709,539609
13.9919,540145
13.9924,540681
14.0124,538537
14.0129,541217
14.033,541753
14.0535,542289
14.0535,542825
14.0745,543361
14.0745,543897
14.0954,544433
14.0954,544969
14.0954,545505
14.1164,546041
14.1164,546577
14.1369,547113
14.1369,547649
14.1575,548185
14.1575,548721
14.1575,549257
14.178,549793
14.178,550329
14.1789,550865
14.1789,551401
14.199,551937
14.199,552473
14.1999,553009
14.1999,553545
14.22,554081
14.22,554617
14.22,555153
14.2209,555689
14.2209,556225
14.2409,556761
14.2409,557297
14.2419,557833
14.2419,558369
14.2615,558905
14.2615,559441
14.2624,559977
14.2624,560513
14.282,561049
14.282,561585
14.2829,562121
14.2829,562657
14.3025,563193
14.3025,563729
14.3034,564265
14.3034,564801
14.3034,565337
14.323,565873
14.323,566409
14.3239,566945
14.3239,567481
14.3249,568017
14.3249,568553
14.3445,569089
14.3445,569625
14.3449,570161
14.3454,566409
14.3459,570697
14.3655,571233
14.386,571769
14.386,572305
14.407,572841
14.407,573377
14.6275,573913
14.6275,574449
14.648,574985
14.6485,575521
14.6685,573377
14.669,576057
14.689,576593
14.7096,577129
14.7096,577665
14.7305,578201
14.7305,578737
14.7515,579273
14.7515,579809
14.7515,580345
14.7725,580881
14.7725,581417
14.793,581953
14.793,582489
14.8135,583025
14.8135,583561
14.8135,584097
14.8341,584633
14.8341,585169
14.835,585705
14.835,586241
14.8555,586777
14.8555,587313
14.856,587849
14.8765,585169
14.897,588385
14.9176,586777
14.9176,588921
14.9381,589457
14.9586,589993
14.9586,590529
14.9796,591065
14.9796,591601
15.0006,592137
15.0006,592673
15.0006,593209
15.0216,593745
15.0216,594281
15.0421,594817
15.0421,595353
15.0626,595889
15.0626,596425
15.0626,596961
15.0831,597497
15.0831,598033
15.0841,598569
15.0841,599105
15.1041,599641
15.1041,600177
15.105,600713
15.105,601249
15.1251,601785
15.1251,602321
15.1251,602857
15.126,603393
15.126,603929
15.1465,604465
15.1465,605001
15.1475,605537
15.1671,602321
15.168,603393
15.1876,606073
15.1885,606609
15.2091,607145
15.2091,607681
15.23,608217
15.2506,608753
15.2711,607145
15.2916,609289
15.2916,609825
15.3126,610361
15.3331,610897
16.2916,609289
16.3121,610897
16.3121,611433
16.5326,611969
16.5532,612505
16.5737,613041
16.5942,611433
16.6147,613577
16.6147,614113
16.6357,614649
16.6357,615185
16.6567,615721
16.6567,616257
16.6567,616793
16.6777,617329
16.6777,617865
16.6982,618401
16.6982,618937
16.7187,619473
16.7187,620009
16.7187,620545
16.7392,621081
16.7392,621617
16.7402,622153
16.7402,622689
16.7602,623225
16.7602,623761
16.7807,624297
16.7807,624833
16.7812,625369
16.8013,622689
16.8218,625905
16.8423,626441
16.8628,626977
16.8833,625369
16.8833,627513
16.9039,628049
16.9244,628585
16.9244,629121
16.9454,629657
16.9454,630193
16.9663,630729
16.9869,631265
17.9454,629657
17.9659,631265
17.9659,631801
17.9869,632337
17.9869,632873
18.0078,633409
18.0078,633945
18.0288,634481
18.0288,635017
18.0288,635553
18.0498,636089
18.0498,636625
18.0703,637161
18.0703,637697
18.0908,638233
18.0908,638769
18.0908,639305
18.1114,639841
18.1114,640377
18.1123,640913
18.1123,641449
18.1323,641985
18.1323,642521
18.1333,643057
18.1333,643593
18.1533,644129
18.1533,644665
18.1533,645201
18.1543,645737
18.1543,646273
18.1743,646809
18.1743,647345
18.1753,647881
18.1753,648417
18.1948,648953
18.1948,649489
18.1963,650025
18.1963,650561
18.2154,651097
18.2158,647881
18.2168,651633
18.2173,652169
18.2359,652705
18.2378,653241
18.2583,653777
19.2378,652705
19.2583,653777
19.2583,654313
19.2793,654849
19.2793,655385
19.3003,655921
19.3003,656457
19.3212,656993
19.3212,657529
19.3212,658065
19.3422,658601
19.3422,659137
19.3627,659673
19.3627,660209
19.3833,660745
19.3833,661281
19.3833,661817
19.4038,662353
19.4038,662889
19.4047,663425
19.4243,663961
19.4248,661281
19.4453,664497
19.4658,665033
19.4863,665569
19.5069,663961
19.5069,666105
19.5274,666641
19.5479,667177
19.5479,667713
19.5689,668249
19.5689,668785
19.5899,669321
19.5899,669857
19.5899,670393
19.6108,670929
19.6108,671465
19.6314,672001
19.6314,672537
19.6519,673073
19.6519,673609
19.6519,674145
19.6724,674681
19.6724,675217
19.6733,675753
19.6733,676289
19.6934,676825
19.6934,677361
19.6943,677897
19.7139,678433
19.7144,675753
19.7344,678969
19.7349,679505
19.7554,680041
19.7554,680577
19.7764,681113
19.7764,681649
19.7974,682185
19.7974,682721
19.7974,683257
19.8184,683793
19.8184,684329
19.8389,684865
19.8389,685401
19.8594,685937
19.8594,686473
19.8594,687009
19.8799,687545
19.8804,688081
19.8809,685401
19.9009,688617
19.9014,689153
19.9219,689689
19.9219,690225
19.9429,690761
19.9429,691297
19.9639,691833
19.9639,692369
19.9639,692905
19.9849,693441
19.9849,693977
20.0054,694513
20.0054,695049
20.01,695585
20.0264,695585
20.0264,696121
20.0264,696657
20.0264,697193
20.0474,697729
20.0474,698265
20.0483,698801
20.0483,699337
20.0683,699873
20.0683,700409
20.0693,700945
20.0693,701481
20.0893,702017
20.0893,702553
20.0893,703089
20.0903,703625
20.0903,704161
20.1103,704697
20.1103,705233
20.1113,705769
20.1113,706305
20.1308,706841
20.1308,707377
20.1318,707913
20.1318,708449
20.1518,708985
20.1518,709521
20.1523,710057
20.1528,706841
20.1733,710593
20.1738,711129
20.1938,711665
20.1943,708985
20.2143,709521
20.2148,712201
20.2349,712737
20.2554,713273
20.2759,713809
20.2964,712201
20.3169,714345
20.3169,714881
20.3379,715417
20.3585,715953
20.379,714345
20.3995,716489
20.3995,717025
20.4205,717561
20.4205,718097
20.4415,718633
20.4415,719169
20.4415,719705
20.4624,720241
20.4624,720777
20.483,721313
20.483,721849
20.5035,722385
20.5035,722921
20.5035,723457
